"CMD","PID","HEIGHT"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"252 - Idle","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"196 - Pre-move","18","570"
"96 - Motor Idle","8","561"
"96 - Motor Idle","9","570"
"133 - Lower","18","570"
"2 - Motor Busy","8","561"
"2 - Motor Busy","9","570"
"133 - Lower","18","570"
"2 - Motor Busy","8","561"
"2 - Motor Busy","9","570"
"133 - Lower","18","570"
"2 - Motor Busy","8","558"
"2 - Motor Busy","9","564"
"133 - Lower","18","564"
"2 - Motor Busy","8","546"
"2 - Motor Busy","9","549"
"133 - Lower","18","549"
"2 - Motor Busy","8","522"
"2 - Motor Busy","9","528"
"135 - Fine Move","18","450"
"3 - Motor Busy (Fine)","8","495"
"3 - Motor Busy (Fine)","9","498"
"135 - Fine Move","18","450"
"3 - Motor Busy (Fine)","8","477"
"3 - Motor Busy (Fine)","9","477"
"135 - Fine Move","18","450"
"3 - Motor Busy (Fine)","8","471"
"3 - Motor Busy (Fine)","9","468"
"132 - ?Finalize?","18","471"
"96 - Motor Idle","8","471"
"96 - Motor Idle","9","468"
"133 - Lower","18","471"
"2 - Motor Busy","8","471"
"2 - Motor Busy","9","468"
"133 - Lower","18","471"
"2 - Motor Busy","8","471"
"2 - Motor Busy","9","468"
"133 - Lower","18","471"
"2 - Motor Busy","8","465"
"2 - Motor Busy","9","462"
"133 - Lower","18","465"
"2 - Motor Busy","8","453"
"2 - Motor Busy","9","450"
"133 - Lower","18","453"
"2 - Motor Busy","8","435"
"2 - Motor Busy","9","432"
"133 - Lower","18","435"
"2 - Motor Busy","8","408"
"2 - Motor Busy","9","405"
"133 - Lower","18","408"
"2 - Motor Busy","8","375"
"2 - Motor Busy","9","372"
"133 - Lower","18","375"
"2 - Motor Busy","8","342"
"2 - Motor Busy","9","336"
"133 - Lower","18","342"
"2 - Motor Busy","8","312"
"2 - Motor Busy","9","306"
"133 - Lower","18","312"
"2 - Motor Busy","8","285"
"2 - Motor Busy","9","282"
"133 - Lower","18","285"
"2 - Motor Busy","8","261"
"2 - Motor Busy","9","258"
"133 - Lower","18","261"
"2 - Motor Busy","8","243"
"2 - Motor Busy","9","237"
"133 - Lower","18","243"
"2 - Motor Busy","8","225"
"2 - Motor Busy","9","219"
"133 - Lower","18","225"
"2 - Motor Busy","8","210"
"2 - Motor Busy","9","204"
"135 - Fine Move","18","95"
"3 - Motor Busy (Fine)","8","195"
"3 - Motor Busy (Fine)","9","192"
"135 - Fine Move","18","95"
"3 - Motor Busy (Fine)","8","183"
"3 - Motor Busy (Fine)","9","180"
"135 - Fine Move","18","95"
"3 - Motor Busy (Fine)","8","174"
"3 - Motor Busy (Fine)","9","171"
"132 - ?Finalize?","18","174"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"128","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"191","18","65526"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"196 - Pre-move","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"128","18","165"
"224","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"191","18","65526"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"196 - Pre-move","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"128","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"191","18","65526"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"196 - Pre-move","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"128","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"129","18","0"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"191","18","65526"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
"252 - Idle","18","165"
"96 - Motor Idle","8","165"
"96 - Motor Idle","9","162"
