Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,LIN,Header Break
0.000702000000000,LIN,Inter-Byte Space
0.000778125000000,LIN,Header Sync
0.001272125000000,LIN,Inter-Byte Space
0.001556375000000,LIN,Protected ID: 17
0.002050375000000,LIN,Inter-Byte Space
0.002386500000000,LIN,Data 0: 0
0.002880500000000,LIN,Inter-Byte Space
0.002905250000000,LIN,Data 1: 0
0.003399250000000,LIN,Inter-Byte Space
0.003424125000000,LIN,Data 2: 0
0.003918125000000,LIN,Inter-Byte Space
0.003942875000000,LIN,Checksum: 238
0.004980500000000,LIN,Header Break
0.005652750000000,LIN,Inter-Byte Space
0.005758625000000,LIN,Header Sync
0.006252625000000,LIN,Inter-Byte Space
0.006536750000000,LIN,Protected ID: 8
0.007030750000000,LIN,Inter-Byte Space
0.007537875000000,LIN,Data 0: 49
0.008031875000000,LIN,Inter-Byte Space
0.008107375000000,LIN,Data 1: 2
0.008601375000000,LIN,Inter-Byte Space
0.008676875000000,LIN,Data 2: 96
0.009170875000000,LIN,Inter-Byte Space
0.009246250000000,LIN,Checksum: 100
0.009960375000000,LIN,Header Break
0.010632500000000,LIN,Inter-Byte Space
0.010738375000000,LIN,Header Sync
0.011232375000000,LIN,Inter-Byte Space
0.011516250000000,LIN,Protected ID: 9
0.012010250000000,LIN,Inter-Byte Space
0.012414000000000,LIN,Data 0: 58
0.012908000000000,LIN,Inter-Byte Space
0.012983750000000,LIN,Data 1: 2
0.013477750000000,LIN,Inter-Byte Space
0.013553375000000,LIN,Data 2: 96
0.014047375000000,LIN,Inter-Byte Space
0.014123000000000,LIN,Checksum: 26
0.014939375000000,LIN,Header Break
0.015611375000000,LIN,Inter-Byte Space
0.015717375000000,LIN,Header Sync
0.016211375000000,LIN,Inter-Byte Space
0.016236000000000,LIN,Protected ID: 16
0.019918750000000,LIN,Header Break
0.020590750000000,LIN,Inter-Byte Space
0.020696625000000,LIN,Header Sync
0.021190625000000,LIN,Inter-Byte Space
0.021267125000000,LIN,Protected ID: 16
0.024950250000000,LIN,Header Break
0.025622375000000,LIN,Inter-Byte Space
0.025728375000000,LIN,Header Sync
0.026222375000000,LIN,Inter-Byte Space
0.026454625000000,LIN,Protected ID: 16
0.029930500000000,LIN,Header Break
0.030602750000000,LIN,Inter-Byte Space
0.030708750000000,LIN,Header Sync
0.031202750000000,LIN,Inter-Byte Space
0.031435125000000,LIN,Protected ID: 16
0.034910875000000,LIN,Header Break
0.035583125000000,LIN,Inter-Byte Space
0.035689125000000,LIN,Header Sync
0.036183125000000,LIN,Inter-Byte Space
0.036467125000000,LIN,Protected ID: 16
0.039890250000000,LIN,Header Break
0.040562250000000,LIN,Inter-Byte Space
0.040668125000000,LIN,Header Sync
0.041162125000000,LIN,Inter-Byte Space
0.041446125000000,LIN,Protected ID: 16
0.044869750000000,LIN,Header Break
0.045541875000000,LIN,Inter-Byte Space
0.045647750000000,LIN,Header Sync
0.046141750000000,LIN,Inter-Byte Space
0.046425750000000,LIN,Protected ID: 1
0.049900375000000,LIN,Header Break
0.050572500000000,LIN,Inter-Byte Space
0.050678375000000,LIN,Header Sync
0.051172375000000,LIN,Inter-Byte Space
0.051404625000000,LIN,Protected ID: 18
0.051898625000000,LIN,Inter-Byte Space
0.052234375000000,LIN,Data 0: 58
0.052728375000000,LIN,Inter-Byte Space
0.052753125000000,LIN,Data 1: 2
0.053247125000000,LIN,Inter-Byte Space
0.053271875000000,LIN,Data 2: 252
0.053765875000000,LIN,Inter-Byte Space
0.053790500000000,LIN,Data 3: 52
0.099750125000000,LIN,Header Break
0.100422250000000,LIN,Inter-Byte Space
0.100528250000000,LIN,Header Sync
0.101022250000000,LIN,Inter-Byte Space
0.101306375000000,LIN,Protected ID: 17
0.101800375000000,LIN,Inter-Byte Space
0.102136375000000,LIN,Data 0: 0
0.102630375000000,LIN,Inter-Byte Space
0.102655250000000,LIN,Data 1: 0
0.103149250000000,LIN,Inter-Byte Space
0.103174000000000,LIN,Data 2: 0
0.103668000000000,LIN,Inter-Byte Space
0.103692875000000,LIN,Checksum: 238
0.104730500000000,LIN,Header Break
0.105402750000000,LIN,Inter-Byte Space
0.105508625000000,LIN,Header Sync
0.106002625000000,LIN,Inter-Byte Space
0.106286750000000,LIN,Protected ID: 8
0.106780750000000,LIN,Inter-Byte Space
0.107287375000000,LIN,Data 0: 49
0.107781375000000,LIN,Inter-Byte Space
0.107856625000000,LIN,Data 1: 2
0.108350625000000,LIN,Inter-Byte Space
0.108426000000000,LIN,Data 2: 96
0.108920000000000,LIN,Inter-Byte Space
0.108995500000000,LIN,Checksum: 100
0.109710375000000,LIN,Header Break
0.110382375000000,LIN,Inter-Byte Space
0.110488375000000,LIN,Header Sync
0.110982375000000,LIN,Inter-Byte Space
0.111266250000000,LIN,Protected ID: 9
0.111760250000000,LIN,Inter-Byte Space
0.112008875000000,LIN,Data 0: 58
0.112502875000000,LIN,Inter-Byte Space
0.112578500000000,LIN,Data 1: 2
0.113072500000000,LIN,Inter-Byte Space
0.113148125000000,LIN,Data 2: 96
0.113642125000000,LIN,Inter-Byte Space
0.113717625000000,LIN,Checksum: 26
0.114689875000000,LIN,Header Break
0.115362125000000,LIN,Inter-Byte Space
0.115468000000000,LIN,Header Sync
0.115962000000000,LIN,Inter-Byte Space
0.115986750000000,LIN,Protected ID: 16
0.119722125000000,LIN,Header Break
0.120394250000000,LIN,Inter-Byte Space
0.120500250000000,LIN,Header Sync
0.120994250000000,LIN,Inter-Byte Space
0.121226500000000,LIN,Protected ID: 16
0.124702375000000,LIN,Header Break
0.125374625000000,LIN,Inter-Byte Space
0.125480500000000,LIN,Header Sync
0.125974500000000,LIN,Inter-Byte Space
0.126206875000000,LIN,Protected ID: 16
0.129682875000000,LIN,Header Break
0.130355125000000,LIN,Inter-Byte Space
0.130461125000000,LIN,Header Sync
0.130955125000000,LIN,Inter-Byte Space
0.131239375000000,LIN,Protected ID: 16
0.134663250000000,LIN,Header Break
0.135335250000000,LIN,Inter-Byte Space
0.135441125000000,LIN,Header Sync
0.135935125000000,LIN,Inter-Byte Space
0.136219250000000,LIN,Protected ID: 16
0.139642625000000,LIN,Header Break
0.140314750000000,LIN,Inter-Byte Space
0.140420625000000,LIN,Header Sync
0.140914625000000,LIN,Inter-Byte Space
0.141198625000000,LIN,Protected ID: 16
0.144622125000000,LIN,Header Break
0.145294375000000,LIN,Inter-Byte Space
0.145400250000000,LIN,Header Sync
0.145894250000000,LIN,Inter-Byte Space
0.145919000000000,LIN,Protected ID: 1
0.149654375000000,LIN,Header Break
0.150326500000000,LIN,Inter-Byte Space
0.150432500000000,LIN,Header Sync
0.150926500000000,LIN,Inter-Byte Space
0.151158875000000,LIN,Protected ID: 18
0.151652875000000,LIN,Inter-Byte Space
0.151989000000000,LIN,Data 0: 58
0.152483000000000,LIN,Inter-Byte Space
0.152507875000000,LIN,Data 1: 2
0.153001875000000,LIN,Inter-Byte Space
0.153026750000000,LIN,Data 2: 252
0.153520750000000,LIN,Inter-Byte Space
0.153545500000000,LIN,Data 3: 52
0.199514125000000,LIN,Header Break
0.200186375000000,LIN,Inter-Byte Space
0.200292375000000,LIN,Header Sync
0.200786375000000,LIN,Inter-Byte Space
0.201070625000000,LIN,Protected ID: 17
0.201564625000000,LIN,Inter-Byte Space
0.201900750000000,LIN,Data 0: 0
0.202394750000000,LIN,Inter-Byte Space
0.202419625000000,LIN,Data 1: 0
0.202913625000000,LIN,Inter-Byte Space
0.202938500000000,LIN,Data 2: 0
0.203432500000000,LIN,Inter-Byte Space
0.203457375000000,LIN,Checksum: 238
0.204495000000000,LIN,Header Break
0.205167375000000,LIN,Inter-Byte Space
0.205273375000000,LIN,Header Sync
0.205767375000000,LIN,Inter-Byte Space
0.206051625000000,LIN,Protected ID: 8
0.206545625000000,LIN,Inter-Byte Space
0.206845250000000,LIN,Data 0: 49
0.207339250000000,LIN,Inter-Byte Space
0.207414625000000,LIN,Data 1: 2
0.207908625000000,LIN,Inter-Byte Space
0.207984000000000,LIN,Data 2: 96
0.208478000000000,LIN,Inter-Byte Space
0.208553375000000,LIN,Checksum: 100
0.209475875000000,LIN,Header Break
0.210148250000000,LIN,Inter-Byte Space
0.210254250000000,LIN,Header Sync
0.210748250000000,LIN,Inter-Byte Space
0.210773125000000,LIN,Protected ID: 9
0.211267125000000,LIN,Inter-Byte Space
0.211567750000000,LIN,Data 0: 58
0.212061750000000,LIN,Inter-Byte Space
0.212137375000000,LIN,Data 1: 2
0.212631375000000,LIN,Inter-Byte Space
0.212707000000000,LIN,Data 2: 96
0.213201000000000,LIN,Inter-Byte Space
0.213276625000000,LIN,Checksum: 26
0.214456625000000,LIN,Header Break
0.215128750000000,LIN,Inter-Byte Space
0.215234625000000,LIN,Header Sync
0.215728625000000,LIN,Inter-Byte Space
0.215805250000000,LIN,Protected ID: 16
0.219488125000000,LIN,Header Break
0.220160250000000,LIN,Inter-Byte Space
0.220266125000000,LIN,Header Sync
0.220760125000000,LIN,Inter-Byte Space
0.220992375000000,LIN,Protected ID: 16
0.224467625000000,LIN,Header Break
0.225139750000000,LIN,Inter-Byte Space
0.225245750000000,LIN,Header Sync
0.225739750000000,LIN,Inter-Byte Space
0.225971875000000,LIN,Protected ID: 16
0.229447625000000,LIN,Header Break
0.230119875000000,LIN,Inter-Byte Space
0.230225875000000,LIN,Header Sync
0.230719875000000,LIN,Inter-Byte Space
0.231004000000000,LIN,Protected ID: 16
0.234427500000000,LIN,Header Break
0.235099625000000,LIN,Inter-Byte Space
0.235205500000000,LIN,Header Sync
0.235699500000000,LIN,Inter-Byte Space
0.235983500000000,LIN,Protected ID: 16
0.239407625000000,LIN,Header Break
0.240080000000000,LIN,Inter-Byte Space
0.240186000000000,LIN,Header Sync
0.240680000000000,LIN,Inter-Byte Space
0.240964250000000,LIN,Protected ID: 16
0.244440625000000,LIN,Header Break
0.245112875000000,LIN,Inter-Byte Space
0.245218875000000,LIN,Header Sync
0.245712875000000,LIN,Inter-Byte Space
0.245945250000000,LIN,Protected ID: 1
0.249421375000000,LIN,Header Break
0.250093625000000,LIN,Inter-Byte Space
0.250199625000000,LIN,Header Sync
0.250693625000000,LIN,Inter-Byte Space
0.250926000000000,LIN,Protected ID: 18
0.251420000000000,LIN,Inter-Byte Space
0.251756125000000,LIN,Data 0: 58
