Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,LIN,Header Break
0.000702000000000,LIN,Inter-Byte Space
0.000778000000000,LIN,Header Sync
0.001272000000000,LIN,Inter-Byte Space
0.001504125000000,LIN,Protected ID: 17
0.001998125000000,LIN,Inter-Byte Space
0.002334125000000,LIN,Data 0: 0
0.002828125000000,LIN,Inter-Byte Space
0.002852875000000,LIN,Data 1: 0
0.003346875000000,LIN,Inter-Byte Space
0.003371500000000,LIN,Data 2: 0
0.003865500000000,LIN,Inter-Byte Space
0.003890250000000,LIN,Checksum: 238
0.004979625000000,LIN,Header Break
0.005651750000000,LIN,Inter-Byte Space
0.005757625000000,LIN,Header Sync
0.006251625000000,LIN,Inter-Byte Space
0.006535625000000,LIN,Protected ID: 8
0.007029625000000,LIN,Inter-Byte Space
0.007484875000000,LIN,Data 0: 100
0.007978875000000,LIN,Inter-Byte Space
0.008054375000000,LIN,Data 1: 23
0.008548375000000,LIN,Inter-Byte Space
0.008623750000000,LIN,Data 2: 96
0.009117750000000,LIN,Inter-Byte Space
0.009193125000000,LIN,Checksum: 28
0.009959125000000,LIN,Header Break
0.010631250000000,LIN,Inter-Byte Space
0.010737125000000,LIN,Header Sync
0.011231125000000,LIN,Inter-Byte Space
0.011515125000000,LIN,Protected ID: 9
0.012009125000000,LIN,Inter-Byte Space
0.012568625000000,LIN,Data 0: 94
0.013062625000000,LIN,Inter-Byte Space
0.013138500000000,LIN,Data 1: 23
0.013632500000000,LIN,Inter-Byte Space
0.013708250000000,LIN,Data 2: 96
0.014202250000000,LIN,Inter-Byte Space
0.014278125000000,LIN,Checksum: 224
0.014938375000000,LIN,Header Break
0.015610375000000,LIN,Inter-Byte Space
0.015716375000000,LIN,Header Sync
0.016210375000000,LIN,Inter-Byte Space
0.016494375000000,LIN,Protected ID: 16
0.019917750000000,LIN,Header Break
0.020589750000000,LIN,Inter-Byte Space
0.020695625000000,LIN,Header Sync
0.021189625000000,LIN,Inter-Byte Space
0.021214250000000,LIN,Protected ID: 16
0.024948625000000,LIN,Header Break
0.025620750000000,LIN,Inter-Byte Space
0.025726625000000,LIN,Header Sync
0.026220625000000,LIN,Inter-Byte Space
0.026452875000000,LIN,Protected ID: 16
0.029928250000000,LIN,Header Break
0.030600250000000,LIN,Inter-Byte Space
0.030706125000000,LIN,Header Sync
0.031200125000000,LIN,Inter-Byte Space
0.031432250000000,LIN,Protected ID: 16
0.034907750000000,LIN,Header Break
0.035579750000000,LIN,Inter-Byte Space
0.035685625000000,LIN,Header Sync
0.036179625000000,LIN,Inter-Byte Space
0.036411750000000,LIN,Protected ID: 16
0.039886250000000,LIN,Header Break
0.040558250000000,LIN,Inter-Byte Space
0.040664125000000,LIN,Header Sync
0.041158125000000,LIN,Inter-Byte Space
0.041442000000000,LIN,Protected ID: 16
0.044865375000000,LIN,Header Break
0.045537500000000,LIN,Inter-Byte Space
0.045643500000000,LIN,Header Sync
0.046137500000000,LIN,Inter-Byte Space
0.046421500000000,LIN,Protected ID: 1
0.049844750000000,LIN,Header Break
0.050516750000000,LIN,Inter-Byte Space
0.050622625000000,LIN,Header Sync
0.051116625000000,LIN,Inter-Byte Space
0.051400750000000,LIN,Protected ID: 18
0.051894750000000,LIN,Inter-Byte Space
0.052230625000000,LIN,Data 0: 100
0.052724625000000,LIN,Inter-Byte Space
0.052749375000000,LIN,Data 1: 23
0.053243375000000,LIN,Inter-Byte Space
0.053268000000000,LIN,Data 2: 252
0.053762000000000,LIN,Inter-Byte Space
0.053786750000000,LIN,Data 3: 244
0.099745000000000,LIN,Header Break
0.100417250000000,LIN,Inter-Byte Space
0.100523250000000,LIN,Header Sync
0.101017250000000,LIN,Inter-Byte Space
0.101249500000000,LIN,Protected ID: 17
0.101743500000000,LIN,Inter-Byte Space
0.102131375000000,LIN,Data 0: 0
0.102625375000000,LIN,Inter-Byte Space
0.102650250000000,LIN,Data 1: 0
0.103144250000000,LIN,Inter-Byte Space
0.103169000000000,LIN,Data 2: 0
0.103663000000000,LIN,Inter-Byte Space
0.103687750000000,LIN,Checksum: 238
0.104725375000000,LIN,Header Break
0.105397625000000,LIN,Inter-Byte Space
0.105503500000000,LIN,Header Sync
0.105997500000000,LIN,Inter-Byte Space
0.106281625000000,LIN,Protected ID: 8
0.106775625000000,LIN,Inter-Byte Space
0.107179125000000,LIN,Data 0: 100
0.107673125000000,LIN,Inter-Byte Space
0.107748625000000,LIN,Data 1: 23
0.108242625000000,LIN,Inter-Byte Space
0.108318125000000,LIN,Data 2: 96
0.108812125000000,LIN,Inter-Byte Space
0.108887500000000,LIN,Checksum: 28
0.109705750000000,LIN,Header Break
0.110378000000000,LIN,Inter-Byte Space
0.110484000000000,LIN,Header Sync
0.110978000000000,LIN,Inter-Byte Space
0.111262125000000,LIN,Protected ID: 9
0.111756125000000,LIN,Inter-Byte Space
0.112211875000000,LIN,Data 0: 94
0.112705875000000,LIN,Inter-Byte Space
0.112781750000000,LIN,Data 1: 23
0.113275750000000,LIN,Inter-Byte Space
0.113351500000000,LIN,Data 2: 96
0.113845500000000,LIN,Inter-Byte Space
0.113921375000000,LIN,Checksum: 224
0.114686250000000,LIN,Header Break
0.115358500000000,LIN,Inter-Byte Space
0.115464500000000,LIN,Header Sync
0.115958500000000,LIN,Inter-Byte Space
0.116242625000000,LIN,Protected ID: 16
0.119666125000000,LIN,Header Break
0.120338250000000,LIN,Inter-Byte Space
0.120444250000000,LIN,Header Sync
0.120938250000000,LIN,Inter-Byte Space
0.120962875000000,LIN,Protected ID: 16
0.124698125000000,LIN,Header Break
0.125370375000000,LIN,Inter-Byte Space
0.125476250000000,LIN,Header Sync
0.125970250000000,LIN,Inter-Byte Space
0.126202500000000,LIN,Protected ID: 16
0.129677875000000,LIN,Header Break
0.130349875000000,LIN,Inter-Byte Space
0.130455750000000,LIN,Header Sync
0.130949750000000,LIN,Inter-Byte Space
0.131181875000000,LIN,Protected ID: 16
0.134657625000000,LIN,Header Break
0.135330000000000,LIN,Inter-Byte Space
0.135435875000000,LIN,Header Sync
0.135929875000000,LIN,Inter-Byte Space
0.136214000000000,LIN,Protected ID: 16
0.139638125000000,LIN,Header Break
0.140310375000000,LIN,Inter-Byte Space
0.140416375000000,LIN,Header Sync
0.140910375000000,LIN,Inter-Byte Space
0.141194625000000,LIN,Protected ID: 16
0.144618500000000,LIN,Header Break
0.145290750000000,LIN,Inter-Byte Space
0.145396625000000,LIN,Header Sync
0.145890625000000,LIN,Inter-Byte Space
0.146174875000000,LIN,Protected ID: 1
0.149598750000000,LIN,Header Break
0.150271000000000,LIN,Inter-Byte Space
0.150377000000000,LIN,Header Sync
0.150871000000000,LIN,Inter-Byte Space
0.150895750000000,LIN,Protected ID: 18
0.151389750000000,LIN,Inter-Byte Space
0.151725875000000,LIN,Data 0: 100
0.152219875000000,LIN,Inter-Byte Space
0.152244625000000,LIN,Data 1: 23
0.152738625000000,LIN,Inter-Byte Space
0.152763375000000,LIN,Data 2: 252
0.153257375000000,LIN,Inter-Byte Space
0.153282125000000,LIN,Data 3: 244
0.199506875000000,LIN,Header Break
0.200179125000000,LIN,Inter-Byte Space
0.200285000000000,LIN,Header Sync
0.200779000000000,LIN,Inter-Byte Space
0.201063125000000,LIN,Protected ID: 17
0.201557125000000,LIN,Inter-Byte Space
0.201893125000000,LIN,Data 0: 0
0.202387125000000,LIN,Inter-Byte Space
0.202411875000000,LIN,Data 1: 0
0.202905875000000,LIN,Inter-Byte Space
0.202930625000000,LIN,Data 2: 0
0.203424625000000,LIN,Inter-Byte Space
0.203449500000000,LIN,Checksum: 238
0.204487000000000,LIN,Header Break
0.205159250000000,LIN,Inter-Byte Space
0.205265125000000,LIN,Header Sync
0.205759125000000,LIN,Inter-Byte Space
0.206043250000000,LIN,Protected ID: 8
0.206537250000000,LIN,Inter-Byte Space
0.206733625000000,LIN,Data 0: 100
0.207227625000000,LIN,Inter-Byte Space
0.207303125000000,LIN,Data 1: 23
0.207797125000000,LIN,Inter-Byte Space
0.207872500000000,LIN,Data 2: 96
0.208366500000000,LIN,Inter-Byte Space
0.208442000000000,LIN,Checksum: 28
0.209467500000000,LIN,Header Break
0.210139750000000,LIN,Inter-Byte Space
0.210245750000000,LIN,Header Sync
0.210739750000000,LIN,Inter-Byte Space
0.211024000000000,LIN,Protected ID: 9
0.211518000000000,LIN,Inter-Byte Space
0.211870375000000,LIN,Data 0: 94
0.212364375000000,LIN,Inter-Byte Space
0.212440250000000,LIN,Data 1: 23
0.212934250000000,LIN,Inter-Byte Space
0.213010125000000,LIN,Data 2: 96
0.213504125000000,LIN,Inter-Byte Space
0.213580000000000,LIN,Checksum: 224
0.214448125000000,LIN,Header Break
0.215120375000000,LIN,Inter-Byte Space
0.215226375000000,LIN,Header Sync
0.215720375000000,LIN,Inter-Byte Space
0.215745125000000,LIN,Protected ID: 16
0.219428500000000,LIN,Header Break
0.220100625000000,LIN,Inter-Byte Space
0.220206625000000,LIN,Header Sync
0.220700625000000,LIN,Inter-Byte Space
0.220777250000000,LIN,Protected ID: 16
0.224460750000000,LIN,Header Break
0.225132875000000,LIN,Inter-Byte Space
0.225238875000000,LIN,Header Sync
0.225732875000000,LIN,Inter-Byte Space
0.225965000000000,LIN,Protected ID: 16
0.229440250000000,LIN,Header Break
0.230112250000000,LIN,Inter-Byte Space
0.230218125000000,LIN,Header Sync
0.230712125000000,LIN,Inter-Byte Space
0.230944250000000,LIN,Protected ID: 16
0.234419250000000,LIN,Header Break
0.235091375000000,LIN,Inter-Byte Space
0.235197250000000,LIN,Header Sync
0.235691250000000,LIN,Inter-Byte Space
0.235975375000000,LIN,Protected ID: 16
0.239399250000000,LIN,Header Break
0.240071500000000,LIN,Inter-Byte Space
0.240177500000000,LIN,Header Sync
0.240671500000000,LIN,Inter-Byte Space
0.240955625000000,LIN,Protected ID: 16
0.244379375000000,LIN,Header Break
0.245051500000000,LIN,Inter-Byte Space
0.245157375000000,LIN,Header Sync
0.245651375000000,LIN,Inter-Byte Space
0.245935500000000,LIN,Protected ID: 1
0.249411250000000,LIN,Header Break
0.250083500000000,LIN,Inter-Byte Space
0.250189500000000,LIN,Header Sync
0.250683500000000,LIN,Inter-Byte Space
0.250915750000000,LIN,Protected ID: 18
0.251409750000000,LIN,Inter-Byte Space
0.251745875000000,LIN,Data 0: 100
