"CMD","PID","HEIGHT"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"252 - Idle","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"196 - Pre-move","18","5988"
"96 - Motor Idle","8","5988"
"96 - Motor Idle","9","5982"
"134 - Raise","18","5982"
"2 - Motor Busy","8","5988"
"2 - Motor Busy","9","5982"
"134 - Raise","18","5982"
"2 - Motor Busy","8","5988"
"2 - Motor Busy","9","5982"
"134 - Raise","18","5982"
"2 - Motor Busy","8","5991"
"2 - Motor Busy","9","5985"
"134 - Raise","18","5985"
"2 - Motor Busy","8","6003"
"2 - Motor Busy","9","6000"
"134 - Raise","18","6000"
"2 - Motor Busy","8","6024"
"2 - Motor Busy","9","6021"
"134 - Raise","18","6021"
"2 - Motor Busy","8","6054"
"2 - Motor Busy","9","6051"
"134 - Raise","18","6051"
"2 - Motor Busy","8","6087"
"2 - Motor Busy","9","6087"
"134 - Raise","18","6087"
"2 - Motor Busy","8","6123"
"2 - Motor Busy","9","6123"
"134 - Raise","18","6123"
"2 - Motor Busy","8","6159"
"2 - Motor Busy","9","6162"
"134 - Raise","18","6159"
"2 - Motor Busy","8","6195"
"2 - Motor Busy","9","6198"
"134 - Raise","18","6195"
"2 - Motor Busy","8","6231"
"2 - Motor Busy","9","6237"
"134 - Raise","18","6231"
"2 - Motor Busy","8","6267"
"2 - Motor Busy","9","6273"
"134 - Raise","18","6267"
"2 - Motor Busy","8","6303"
"2 - Motor Busy","9","6309"
"134 - Raise","18","6303"
"2 - Motor Busy","8","6339"
"2 - Motor Busy","9","6345"
"134 - Raise","18","6339"
"2 - Motor Busy","8","6375"
"2 - Motor Busy","9","6384"
"134 - Raise","18","6375"
"2 - Motor Busy","8","6411"
"2 - Motor Busy","9","6420"
"134 - Raise","18","6411"
"2 - Motor Busy","8","6447"
"2 - Motor Busy","9","6456"
"134 - Raise","18","6447"
"2 - Motor Busy","8","6483"
"2 - Motor Busy","9","6492"
"134 - Raise","18","6483"
"2 - Motor Busy","8","6519"
"2 - Motor Busy","9","6525"
"134 - Raise","18","6519"
"2 - Motor Busy","8","6555"
"2 - Motor Busy","9","6561"
"134 - Raise","18","6555"
"2 - Motor Busy","8","6591"
"2 - Motor Busy","9","6597"
"134 - Raise","18","6591"
"2 - Motor Busy","8","6624"
"2 - Motor Busy","9","6633"
"134 - Raise","18","6624"
"2 - Motor Busy","8","6654"
"2 - Motor Busy","9","6660"
"134 - Raise","18","6654"
"2 - Motor Busy","8","6678"
"2 - Motor Busy","9","6684"
"134 - Raise","18","6678"
"2 - Motor Busy","8","6699"
"2 - Motor Busy","9","6705"
"134 - Raise","18","6699"
"2 - Motor Busy","8","6717"
"2 - Motor Busy","9","6720"
"134 - Raise","18","6717"
"2 - Motor Busy","8","6729"
"2 - Motor Busy","9","6735"
"134 - Raise","18","6729"
"2 - Motor Busy","8","6741"
"2 - Motor Busy","9","6747"
"135 - Fine Move","18","6854"
"3 - Motor Busy (Fine)","8","6750"
"3 - Motor Busy (Fine)","9","6756"
"135 - Fine Move","18","6854"
"3 - Motor Busy (Fine)","8","6759"
"3 - Motor Busy (Fine)","9","6765"
"135 - Fine Move","18","6854"
"3 - Motor Busy (Fine)","8","6765"
"3 - Motor Busy (Fine)","9","6771"
"132 - ?Finalize?","18","6771"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"128","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"191","18","9"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"196 - Pre-move","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"128","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"191","18","9"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"196 - Pre-move","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"128","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"191","18","9"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"196 - Pre-move","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"128","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"130","18","65535"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"191","18","9"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
"96 - Motor Idle","9","6777"
"252 - Idle","18","6777"
"96 - Motor Idle","8","6771"
