Stationary,,,,,,,,,,,,,,,Rising,,,,,Lowering,,,
PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3,,PID,D1,D2,D3
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,143,1,134,,18,5,7,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,179,1,2,,8,228,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,185,1,2,,9,228,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,179,1,134,,18,228,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,215,1,2,,8,195,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,221,1,2,,9,192,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,215,1,134,,18,195,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,251,1,2,,8,162,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,1,2,2,,9,159,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,251,1,134,,18,162,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,31,2,2,,8,129,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,37,2,2,,9,126,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,31,2,134,,18,129,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,64,2,2,,8,96,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,73,2,2,,9,93,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,64,2,134,,18,96,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,100,2,2,,8,63,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,109,2,2,,9,60,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,100,2,134,,18,63,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,136,2,2,,8,30,6,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,145,2,2,,9,24,6,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,136,2,134,,18,30,6,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,175,2,2,,8,253,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,181,2,2,,9,247,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,175,2,134,,18,253,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,211,2,2,,8,220,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,217,2,2,,9,214,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,211,2,134,,18,220,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,247,2,2,,8,187,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,253,2,2,,9,181,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,247,2,134,,18,187,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,27,3,2,,8,154,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,33,3,2,,9,148,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,27,3,134,,18,154,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,63,3,2,,8,121,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,69,3,2,,9,112,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,63,3,134,,18,121,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,99,3,2,,8,88,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,105,3,2,,9,79,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,99,3,134,,18,88,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,135,3,2,,8,55,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,144,3,2,,9,46,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,135,3,134,,18,55,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,171,3,2,,8,22,5,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,180,3,2,,9,13,5,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,171,3,134,,18,22,5,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,207,3,2,,8,245,4,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,216,3,2,,9,236,4,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,207,3,134,,18,245,4,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,243,3,2,,8,212,4,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,252,3,2,,9,200,4,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
1,,,,,1,,,,,1,,,,,1,,,,,1,,,
18,185,4,252,,18,17,4,252,,18,202,2,252,,18,243,3,134,,18,212,4,133
17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0,,17,0,0,0
8,179,4,96,,8,14,4,96,,8,202,2,96,,8,23,4,2,,8,179,4,2
9,185,4,96,,9,17,4,96,,9,199,2,96,,9,29,4,2,,9,170,4,2
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
16,,,,,16,,,,,16,,,,,16,,,,,16,,,
