PID,D1,D2,D3
1,,,
18,209,4,252
17,0,0,0
8,200,4,96
9,209,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,209,4,252
17,0,0,0
8,200,4,96
9,209,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,209,4,196
17,0,0,0
8,200,4,96
9,209,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,209,4,133
17,0,0,0
8,200,4,2
9,209,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,209,4,133
17,0,0,0
8,200,4,2
9,209,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,209,4,133
17,0,0,0
8,200,4,2
9,206,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,206,4,133
17,0,0,0
8,194,4,2
9,200,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,200,4,133
17,0,0,0
8,176,4,2
9,182,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,182,4,133
17,0,0,0
8,149,4,2
9,152,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,152,4,133
17,0,0,0
8,119,4,2
9,119,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,119,4,133
17,0,0,0
8,86,4,2
9,83,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,86,4,133
17,0,0,0
8,53,4,2
9,50,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,53,4,133
17,0,0,0
8,20,4,2
9,14,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,20,4,133
17,0,0,0
8,243,3,2
9,237,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,243,3,133
17,0,0,0
8,210,3,2
9,204,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,210,3,133
17,0,0,0
8,177,3,2
9,171,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,177,3,133
17,0,0,0
8,144,3,2
9,141,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,144,3,133
17,0,0,0
8,111,3,2
9,108,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,111,3,133
17,0,0,0
8,78,3,2
9,75,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,223,2,135
17,0,0,0
8,45,3,3
9,42,3,3
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,223,2,135
17,0,0,0
8,24,3,3
9,18,3,3
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,223,2,135
17,0,0,0
8,12,3,3
9,9,3,3
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,12,3,132
17,0,0,0
8,9,3,96
9,6,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,9,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,6,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,6,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,6,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,6,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,6,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,6,3,252
17,0,0,0
8,6,3,96
9,3,3,96
16,,,
16,,,
