PID,D1,D2,D3
1,,,
18,57,3,252
17,0,0,0
8,51,3,96
9,57,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,57,3,252
17,0,0,0
8,51,3,96
9,57,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,57,3,196
17,0,0,0
8,51,3,96
9,57,3,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,51,3,134
17,0,0,0
8,51,3,2
9,57,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,51,3,134
17,0,0,0
8,51,3,2
9,57,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,51,3,134
17,0,0,0
8,51,3,2
9,57,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,51,3,134
17,0,0,0
8,60,3,2
9,66,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,60,3,134
17,0,0,0
8,81,3,2
9,87,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,81,3,134
17,0,0,0
8,108,3,2
9,114,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,108,3,134
17,0,0,0
8,144,3,2
9,150,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,144,3,134
17,0,0,0
8,180,3,2
9,186,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,180,3,134
17,0,0,0
8,216,3,2
9,222,3,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,216,3,134
17,0,0,0
8,249,3,2
9,2,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,249,3,134
17,0,0,0
8,29,4,2
9,38,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,29,4,134
17,0,0,0
8,65,4,2
9,71,4,2
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,188,4,135
17,0,0,0
8,101,4,3
9,107,4,3
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,188,4,135
17,0,0,0
8,128,4,3
9,131,4,3
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,188,4,135
17,0,0,0
8,140,4,3
9,143,4,3
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,143,4,132
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
18,146,4,252
17,0,0,0
8,143,4,96
9,146,4,96
16,,,
16,,,
16,,,
16,,,
16,,,
16,,,
1,,,
