BREAK,SYNC,PID,D1,D2,D3,Chksum
0,85,8,5,7,2,233
0,85,9,5,7,2,168
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,5,7,133,219
0,85,17,0,0,0,238
0,85,8,228,6,2,11
0,85,9,228,6,2,201
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,228,6,133,252
0,85,17,0,0,0,238
0,85,8,195,6,2,44
0,85,9,192,6,2,237
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,195,6,133,30
0,85,17,0,0,0,238
0,85,8,162,6,2,77
0,85,9,159,6,2,15
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,162,6,133,63
0,85,17,0,0,0,238
0,85,8,129,6,2,110
0,85,9,126,6,2,48
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,129,6,133,96
0,85,17,0,0,0,238
0,85,8,96,6,2,143
0,85,9,93,6,2,81
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,96,6,133,129
0,85,17,0,0,0,238
0,85,8,63,6,2,176
0,85,9,60,6,2,114
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,63,6,133,162
0,85,17,0,0,0,238
0,85,8,30,6,2,209
0,85,9,24,6,2,150
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,30,6,133,195
0,85,17,0,0,0,238
0,85,8,253,5,2,242
0,85,9,247,5,2,183
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,253,5,133,228
0,85,17,0,0,0,238
0,85,8,220,5,2,20
0,85,9,214,5,2,216
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,220,5,133,6
0,85,17,0,0,0,238
0,85,8,187,5,2,53
0,85,9,181,5,2,249
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,187,5,133,39
0,85,17,0,0,0,238
0,85,8,154,5,2,86
0,85,9,148,5,2,27
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,154,5,133,72
0,85,17,0,0,0,238
0,85,8,121,5,2,119
0,85,9,112,5,2,63
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,121,5,133,105
0,85,17,0,0,0,238
0,85,8,88,5,2,152
0,85,9,79,5,2,96
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,88,5,133,138
0,85,17,0,0,0,238
0,85,8,55,5,2,185
0,85,9,46,5,2,129
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,55,5,133,171
0,85,17,0,0,0,238
0,85,8,22,5,2,218
0,85,9,13,5,2,162
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,22,5,133,204
0,85,17,0,0,0,238
0,85,8,245,4,2,251
0,85,9,236,4,2,195
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,245,4,133,237
0,85,17,0,0,0,238
0,85,8,212,4,2,29
0,85,9,200,4,2,231
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,212,4,133,15
0,85,17,0,0,0,238
0,85,8,179,4,2,62
0,85,9,170,4,2,6
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,179,4,133,48
0,85,17,0,0,0,238
0,85,8,146,4,2,95
0,85,9,137,4,2,39
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
