BREAK,SYNC,PID,D1,D2,D3,Chksum
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,143,1,134,86
0,85,17,0,0,0,238
0,85,8,179,1,2,65
0,85,9,185,1,2,249
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,179,1,134,50
0,85,17,0,0,0,238
0,85,8,215,1,2,29
0,85,9,221,1,2,213
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,215,1,134,14
0,85,17,0,0,0,238
0,85,8,251,1,2,248
0,85,9,1,2,2,177
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,251,1,134,233
0,85,17,0,0,0,238
0,85,8,31,2,2,212
0,85,9,37,2,2,141
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,31,2,134,197
0,85,17,0,0,0,238
0,85,8,64,2,2,179
0,85,9,73,2,2,105
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,64,2,134,164
0,85,17,0,0,0,238
0,85,8,100,2,2,143
0,85,9,109,2,2,69
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,100,2,134,128
0,85,17,0,0,0,238
0,85,8,136,2,2,107
0,85,9,145,2,2,33
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,136,2,134,92
0,85,17,0,0,0,238
0,85,8,175,2,2,68
0,85,9,181,2,2,252
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,175,2,134,53
0,85,17,0,0,0,238
0,85,8,211,2,2,32
0,85,9,217,2,2,216
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,211,2,134,17
0,85,17,0,0,0,238
0,85,8,247,2,2,251
0,85,9,253,2,2,180
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,247,2,134,236
0,85,17,0,0,0,238
0,85,8,27,3,2,215
0,85,9,33,3,2,144
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,27,3,134,200
0,85,17,0,0,0,238
0,85,8,63,3,2,179
0,85,9,69,3,2,108
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,63,3,134,164
0,85,17,0,0,0,238
0,85,8,99,3,2,143
0,85,9,105,3,2,72
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,99,3,134,128
0,85,17,0,0,0,238
0,85,8,135,3,2,107
0,85,9,144,3,2,33
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,135,3,134,92
0,85,17,0,0,0,238
0,85,8,171,3,2,71
0,85,9,180,3,2,252
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,171,3,134,56
0,85,17,0,0,0,238
0,85,8,207,3,2,35
0,85,9,216,3,2,216
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,207,3,134,20
0,85,17,0,0,0,238
0,85,8,243,3,2,254
0,85,9,252,3,2,180
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,243,3,134,239
0,85,17,0,0,0,238
0,85,8,23,4,2,218
0,85,9,29,4,2,147
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,23,4,134,203
0,85,17,0,0,0,238
0,85,8,56,4,2,185
0,85,9,65,4,2,111
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,56,4,134,170
0,85,17,0,0,0,238
0,85,8,92,4,2,149
0,85,9,101,4,2,75
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,92,4,134,134
0,85,17,0,0,0,238
0,85,8,128,4,2,113
0,85,9,137,4,2,39
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,128,4,134,98
0,85,17,0,0,0,238
0,85,8,164,4,2,77
0,85,9,173,4,2,3
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,164,4,134,62
0,85,17,0,0,0,238
0,85,8,200,4,2,41
0,85,9,206,4,2,225
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,200,4,134,26
0,85,17,0,0,0,238
0,85,8,236,4,2,5
0,85,9,242,4,2,189
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,236,4,134,245
0,85,17,0,0,0,238
0,85,8,16,5,2,224
0,85,9,22,5,2,153
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,16,5,134,209
0,85,17,0,0,0,238
0,85,8,52,5,2,188
0,85,9,58,5,2,117
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,52,5,134,173
0,85,17,0,0,0,238
0,85,8,88,5,2,152
0,85,9,94,5,2,81
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,88,5,134,137
0,85,17,0,0,0,238
0,85,8,124,5,2,116
0,85,9,130,5,2,45
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,124,5,134,101
0,85,17,0,0,0,238
0,85,8,160,5,2,80
0,85,9,166,5,2,9
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,160,5,134,65
0,85,17,0,0,0,238
0,85,8,196,5,2,44
0,85,9,202,5,2,228
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,196,5,134,29
0,85,17,0,0,0,238
0,85,8,232,5,2,8
0,85,9,238,5,2,192
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,232,5,134,248
0,85,17,0,0,0,238
0,85,8,12,6,2,227
0,85,9,18,6,2,156
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,12,6,134,212
0,85,17,0,0,0,238
0,85,8,48,6,2,191
0,85,9,54,6,2,120
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,48,6,134,176
0,85,17,0,0,0,238
0,85,8,84,6,2,155
0,85,9,90,6,2,84
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,84,6,134,140
0,85,17,0,0,0,238
0,85,8,120,6,2,119
0,85,9,126,6,2,48
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,120,6,134,104
0,85,17,0,0,0,238
0,85,8,156,6,2,83
0,85,9,162,6,2,12
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,156,6,134,68
0,85,17,0,0,0,238
0,85,8,195,6,2,44
0,85,9,201,6,2,228
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,195,6,134,29
0,85,17,0,0,0,238
0,85,8,228,6,2,11
0,85,9,237,6,2,192
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,228,6,134,251
0,85,17,0,0,0,238
0,85,8,8,7,2,230
0,85,9,17,7,2,156
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,8,7,134,215
0,85,17,0,0,0,238
0,85,8,44,7,2,194
0,85,9,53,7,2,120
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,44,7,134,179
0,85,17,0,0,0,238
0,85,8,83,7,2,155
0,85,9,89,7,2,84
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,215,7,135,7
0,85,17,0,0,0,238
0,85,8,116,7,3,121
0,85,9,125,7,3,47
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,215,7,135,7
0,85,17,0,0,0,238
0,85,8,143,7,3,94
0,85,9,149,7,3,23
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,215,7,135,7
0,85,17,0,0,0,238
0,85,8,158,7,3,79
0,85,9,164,7,3,8
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,164,7,132,61
0,85,17,0,0,0,238
0,85,8,161,7,96,238
0,85,9,167,7,96,167
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,16,,,,
0,85,1,,,,
0,85,18,167,7,252,193
0,85,17,0,0,0,238
0,85,8,161,7,96,238
0,85,9,167,7,96,167
0,85,16,,,,
