Time [s], Analyzer Name, Decoded Protocol Result
1.707470750000000,LIN,Header Break
1.708328750000000,LIN,Inter-Byte Space
1.708414750000000,LIN,Header Sync
1.708908750000000,LIN,Inter-Byte Space
1.708934375000000,LIN,Protected ID: 60
1.709428375000000,LIN,Inter-Byte Space
1.709453875000000,LIN,Data 0: 255
1.709947875000000,LIN,Inter-Byte Space
1.709973375000000,LIN,Data 1: 7
1.710467375000000,LIN,Inter-Byte Space
1.710492875000000,LIN,Data 2: 255
1.710986875000000,LIN,Inter-Byte Space
1.711012375000000,LIN,Data 3: 255
1.711506375000000,LIN,Inter-Byte Space
1.711531875000000,LIN,Data 4: 255
1.712025875000000,LIN,Inter-Byte Space
1.712051375000000,LIN,Data 5: 255
1.712545375000000,LIN,Inter-Byte Space
1.712571000000000,LIN,Data 6: 255
1.713065000000000,LIN,Inter-Byte Space
1.713090500000000,LIN,Data 7: 255
1.713584500000000,LIN,Inter-Byte Space
1.713610000000000,LIN,Checksum: 188
1.717155000000000,LIN,Header Break
1.718013000000000,LIN,Inter-Byte Space
1.718093625000000,LIN,Header Sync
1.718587625000000,LIN,Inter-Byte Space
1.718613125000000,LIN,Protected ID: 61
1.731118500000000,LIN,Header Break
1.731947000000000,LIN,Inter-Byte Space
1.732057125000000,LIN,Header Sync
1.732551125000000,LIN,Inter-Byte Space
1.732576625000000,LIN,Protected ID: 60
1.733070625000000,LIN,Inter-Byte Space
1.733096125000000,LIN,Data 0: 255
1.733590125000000,LIN,Inter-Byte Space
1.733615750000000,LIN,Data 1: 7
1.734109750000000,LIN,Inter-Byte Space
1.734135250000000,LIN,Data 2: 255
1.734629250000000,LIN,Inter-Byte Space
1.734654750000000,LIN,Data 3: 255
1.735148750000000,LIN,Inter-Byte Space
1.735174250000000,LIN,Data 4: 255
1.735668250000000,LIN,Inter-Byte Space
1.735693750000000,LIN,Data 5: 255
1.736187750000000,LIN,Inter-Byte Space
1.736213250000000,LIN,Data 6: 255
1.736707250000000,LIN,Inter-Byte Space
1.736732875000000,LIN,Data 7: 255
1.737226875000000,LIN,Inter-Byte Space
1.737252375000000,LIN,Checksum: 188
1.740793375000000,LIN,Header Break
1.741651375000000,LIN,Inter-Byte Space
1.741732000000000,LIN,Header Sync
1.742226000000000,LIN,Inter-Byte Space
1.742251500000000,LIN,Protected ID: 61
1.754756625000000,LIN,Header Break
1.755585125000000,LIN,Inter-Byte Space
1.755695250000000,LIN,Header Sync
1.756189250000000,LIN,Inter-Byte Space
1.756214750000000,LIN,Protected ID: 60
1.756708750000000,LIN,Inter-Byte Space
1.756734250000000,LIN,Data 0: 255
1.757228250000000,LIN,Inter-Byte Space
1.757253875000000,LIN,Data 1: 1
1.757747875000000,LIN,Inter-Byte Space
1.757773375000000,LIN,Data 2: 7
1.758267375000000,LIN,Inter-Byte Space
1.758292875000000,LIN,Data 3: 255
1.758786875000000,LIN,Inter-Byte Space
1.758812375000000,LIN,Data 4: 255
1.759306375000000,LIN,Inter-Byte Space
1.759331875000000,LIN,Data 5: 255
1.759825875000000,LIN,Inter-Byte Space
1.759851375000000,LIN,Data 6: 255
1.760345375000000,LIN,Inter-Byte Space
1.760370875000000,LIN,Data 7: 255
1.760864875000000,LIN,Inter-Byte Space
1.760890375000000,LIN,Checksum: 187
1.764431750000000,LIN,Header Break
1.765289750000000,LIN,Inter-Byte Space
1.765370375000000,LIN,Header Sync
1.765864375000000,LIN,Inter-Byte Space
1.765889875000000,LIN,Protected ID: 61
1.778394625000000,LIN,Header Break
1.779223250000000,LIN,Inter-Byte Space
1.779333250000000,LIN,Header Sync
1.779827250000000,LIN,Inter-Byte Space
1.779852875000000,LIN,Protected ID: 60
1.780346875000000,LIN,Inter-Byte Space
1.780372375000000,LIN,Data 0: 208
1.780866375000000,LIN,Inter-Byte Space
1.780891875000000,LIN,Data 1: 2
1.781385875000000,LIN,Inter-Byte Space
1.781411375000000,LIN,Data 2: 7
1.781905375000000,LIN,Inter-Byte Space
1.781930875000000,LIN,Data 3: 255
1.782424875000000,LIN,Inter-Byte Space
1.782450375000000,LIN,Data 4: 255
1.782944375000000,LIN,Inter-Byte Space
1.782969875000000,LIN,Data 5: 255
1.783463875000000,LIN,Inter-Byte Space
1.783489500000000,LIN,Data 6: 255
1.783983500000000,LIN,Inter-Byte Space
1.784009000000000,LIN,Data 7: 255
1.784503000000000,LIN,Inter-Byte Space
1.784528500000000,LIN,Checksum: 233
1.788076625000000,LIN,Header Break
1.788934625000000,LIN,Inter-Byte Space
1.789009125000000,LIN,Header Sync
1.789503125000000,LIN,Inter-Byte Space
1.789528750000000,LIN,Protected ID: 61
1.790022750000000,LIN,Inter-Byte Space
1.790048250000000,LIN,Data 0: 254
1.790542250000000,LIN,Inter-Byte Space
1.790567750000000,LIN,Checksum: 131
1.794122125000000,LIN,Header Break
1.794950625000000,LIN,Inter-Byte Space
1.795060750000000,LIN,Header Sync
1.795554750000000,LIN,Inter-Byte Space
1.795580250000000,LIN,Protected ID: 60
1.796074250000000,LIN,Inter-Byte Space
1.796099750000000,LIN,Data 0: 0
1.796593750000000,LIN,Inter-Byte Space
1.796619250000000,LIN,Data 1: 2
1.797113250000000,LIN,Inter-Byte Space
1.797138875000000,LIN,Data 2: 7
1.797632875000000,LIN,Inter-Byte Space
1.797658375000000,LIN,Data 3: 255
1.798152375000000,LIN,Inter-Byte Space
1.798177875000000,LIN,Data 4: 255
1.798671875000000,LIN,Inter-Byte Space
1.798697375000000,LIN,Data 5: 255
1.799191375000000,LIN,Inter-Byte Space
1.799216875000000,LIN,Data 6: 255
1.799710875000000,LIN,Inter-Byte Space
1.799736375000000,LIN,Data 7: 255
1.800230375000000,LIN,Inter-Byte Space
1.800255875000000,LIN,Checksum: 186
1.803796875000000,LIN,Header Break
1.804654875000000,LIN,Inter-Byte Space
1.804735625000000,LIN,Header Sync
1.805229625000000,LIN,Inter-Byte Space
1.805255125000000,LIN,Protected ID: 61
1.817759750000000,LIN,Header Break
1.818582250000000,LIN,Inter-Byte Space
1.818692250000000,LIN,Header Sync
1.819186250000000,LIN,Inter-Byte Space
1.819211875000000,LIN,Protected ID: 60
1.819705875000000,LIN,Inter-Byte Space
1.819731375000000,LIN,Data 0: 1
1.820225375000000,LIN,Inter-Byte Space
1.820250875000000,LIN,Data 1: 2
1.820744875000000,LIN,Inter-Byte Space
1.820770375000000,LIN,Data 2: 7
1.821264375000000,LIN,Inter-Byte Space
1.821289875000000,LIN,Data 3: 255
1.821783875000000,LIN,Inter-Byte Space
1.821809375000000,LIN,Data 4: 255
1.822303375000000,LIN,Inter-Byte Space
1.822328875000000,LIN,Data 5: 255
1.822822875000000,LIN,Inter-Byte Space
1.822848500000000,LIN,Data 6: 255
1.823342500000000,LIN,Inter-Byte Space
1.823368000000000,LIN,Data 7: 255
1.823862000000000,LIN,Inter-Byte Space
1.823887500000000,LIN,Checksum: 185
1.827432375000000,LIN,Header Break
1.828290375000000,LIN,Inter-Byte Space
1.828371000000000,LIN,Header Sync
1.828865000000000,LIN,Inter-Byte Space
1.828890625000000,LIN,Protected ID: 61
1.841399125000000,LIN,Header Break
1.842221500000000,LIN,Inter-Byte Space
1.842337875000000,LIN,Header Sync
1.842831875000000,LIN,Inter-Byte Space
1.842857375000000,LIN,Protected ID: 60
1.843351375000000,LIN,Inter-Byte Space
1.843376875000000,LIN,Data 0: 2
1.843870875000000,LIN,Inter-Byte Space
1.843896375000000,LIN,Data 1: 2
1.844390375000000,LIN,Inter-Byte Space
1.844415875000000,LIN,Data 2: 7
1.844909875000000,LIN,Inter-Byte Space
1.844935375000000,LIN,Data 3: 255
1.845429375000000,LIN,Inter-Byte Space
1.845455000000000,LIN,Data 4: 255
1.845949000000000,LIN,Inter-Byte Space
1.845974500000000,LIN,Data 5: 255
1.846468500000000,LIN,Inter-Byte Space
1.846494000000000,LIN,Data 6: 255
1.846988000000000,LIN,Inter-Byte Space
1.847013500000000,LIN,Data 7: 255
1.847507500000000,LIN,Inter-Byte Space
1.847533000000000,LIN,Checksum: 184
1.851073875000000,LIN,Header Break
1.851931875000000,LIN,Inter-Byte Space
1.852012625000000,LIN,Header Sync
1.852506625000000,LIN,Inter-Byte Space
1.852532125000000,LIN,Protected ID: 61
1.865041000000000,LIN,Header Break
1.865869500000000,LIN,Inter-Byte Space
1.865979625000000,LIN,Header Sync
1.866473625000000,LIN,Inter-Byte Space
1.866499125000000,LIN,Protected ID: 60
1.866993125000000,LIN,Inter-Byte Space
1.867018625000000,LIN,Data 0: 3
1.867512625000000,LIN,Inter-Byte Space
1.867538125000000,LIN,Data 1: 2
1.868032125000000,LIN,Inter-Byte Space
1.868057750000000,LIN,Data 2: 7
1.868551750000000,LIN,Inter-Byte Space
1.868577250000000,LIN,Data 3: 255
1.869071250000000,LIN,Inter-Byte Space
1.869096750000000,LIN,Data 4: 255
1.869590750000000,LIN,Inter-Byte Space
1.869616250000000,LIN,Data 5: 255
1.870110250000000,LIN,Inter-Byte Space
1.870135750000000,LIN,Data 6: 255
1.870629750000000,LIN,Inter-Byte Space
1.870655250000000,LIN,Data 7: 255
1.871149250000000,LIN,Inter-Byte Space
1.871174750000000,LIN,Checksum: 183
1.874716000000000,LIN,Header Break
1.875574000000000,LIN,Inter-Byte Space
1.875654750000000,LIN,Header Sync
1.876148750000000,LIN,Inter-Byte Space
1.876174250000000,LIN,Protected ID: 61
1.888683250000000,LIN,Header Break
1.889511875000000,LIN,Inter-Byte Space
1.889622000000000,LIN,Header Sync
1.890116000000000,LIN,Inter-Byte Space
1.890141500000000,LIN,Protected ID: 60
1.890635500000000,LIN,Inter-Byte Space
1.890661000000000,LIN,Data 0: 4
1.891155000000000,LIN,Inter-Byte Space
1.891180500000000,LIN,Data 1: 2
1.891674500000000,LIN,Inter-Byte Space
1.891700000000000,LIN,Data 2: 7
1.892194000000000,LIN,Inter-Byte Space
1.892219625000000,LIN,Data 3: 255
1.892713625000000,LIN,Inter-Byte Space
1.892739125000000,LIN,Data 4: 255
