Time [s], Analyzer Name, Decoded Protocol Result
2.696509500000000,LIN,Header Break
2.697211500000000,LIN,Inter-Byte Space
2.697287875000000,LIN,Header Sync
2.697781875000000,LIN,Inter-Byte Space
2.697858500000000,LIN,Protected ID: 60
2.698352500000000,LIN,Inter-Byte Space
2.698688750000000,LIN,Data 0: 255
2.699182750000000,LIN,Inter-Byte Space
2.699207625000000,LIN,Data 1: 7
2.699701625000000,LIN,Inter-Byte Space
2.699726500000000,LIN,Data 2: 255
2.700220500000000,LIN,Inter-Byte Space
2.700245500000000,LIN,Data 3: 255
2.700739500000000,LIN,Inter-Byte Space
2.700764375000000,LIN,Data 4: 255
2.701258375000000,LIN,Inter-Byte Space
2.701283125000000,LIN,Data 5: 255
2.701777125000000,LIN,Inter-Byte Space
2.701802000000000,LIN,Data 6: 255
2.702296000000000,LIN,Inter-Byte Space
2.702320750000000,LIN,Data 7: 255
2.702814750000000,LIN,Inter-Byte Space
2.702839500000000,LIN,!CHK!
2.706471875000000,LIN,Header Break
2.707173875000000,LIN,Inter-Byte Space
2.707250250000000,LIN,Header Sync
2.707744250000000,LIN,Inter-Byte Space
2.707821000000000,LIN,Protected ID: 61
2.721521250000000,LIN,Header Break
2.722193625000000,LIN,Inter-Byte Space
2.722299625000000,LIN,Header Sync
2.722793625000000,LIN,Inter-Byte Space
2.723026125000000,LIN,Protected ID: 60
2.723520125000000,LIN,Inter-Byte Space
2.723908375000000,LIN,Data 0: 255
2.724402375000000,LIN,Inter-Byte Space
2.724427375000000,LIN,Data 1: 7
2.724921375000000,LIN,Inter-Byte Space
2.724946375000000,LIN,Data 2: 255
2.725440375000000,LIN,Inter-Byte Space
2.725465250000000,LIN,Data 3: 255
2.725959250000000,LIN,Inter-Byte Space
2.725984250000000,LIN,Data 4: 255
2.726478250000000,LIN,Inter-Byte Space
2.726503250000000,LIN,Data 5: 255
2.726997250000000,LIN,Inter-Byte Space
2.727022250000000,LIN,Data 6: 255
2.727516250000000,LIN,Inter-Byte Space
2.727541250000000,LIN,Data 7: 255
2.728035250000000,LIN,Inter-Byte Space
2.728060250000000,LIN,!CHK!
2.731433625000000,LIN,Header Break
2.732135625000000,LIN,Inter-Byte Space
2.732211875000000,LIN,Header Sync
2.732705875000000,LIN,Inter-Byte Space
2.732782750000000,LIN,Protected ID: 61
2.746430000000000,LIN,Header Break
2.747102125000000,LIN,Inter-Byte Space
2.747208125000000,LIN,Header Sync
2.747702125000000,LIN,Inter-Byte Space
2.747986375000000,LIN,Protected ID: 60
2.748480375000000,LIN,Inter-Byte Space
2.748816375000000,LIN,Data 0: 255
2.749310375000000,LIN,Inter-Byte Space
2.749335250000000,LIN,Data 1: 1
2.749829250000000,LIN,Inter-Byte Space
2.749854000000000,LIN,Data 2: 7
2.750348000000000,LIN,Inter-Byte Space
2.750372750000000,LIN,Data 3: 255
2.750866750000000,LIN,Inter-Byte Space
2.750891500000000,LIN,Data 4: 255
2.751385500000000,LIN,Inter-Byte Space
2.751410375000000,LIN,Data 5: 255
2.751904375000000,LIN,Inter-Byte Space
2.751929250000000,LIN,Data 6: 255
2.752423250000000,LIN,Inter-Byte Space
2.752448000000000,LIN,Data 7: 255
