1,2,3,4,5,6,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,Data 1: 7,
Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,Data 2: 255,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,Data 1: 1,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,Data 0: 208,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 254,Data 0: 255,Data 0: 254,Data 0: 254,Data 0: 253,
,,,,,,
Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,Protected ID: 60,
Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,Data 0: 0,
Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,Data 1: 2,
Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,Data 2: 7,
Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,Data 3: 255,
,,,,,,
Protected ID: 60,Protected ID: 60,,Protected ID: 60,Protected ID: 60,,
Data 0: 1,Data 0: 1,,Data 0: 1,Data 0: 1,,
Data 1: 2,Data 1: 2,,Data 1: 2,Data 1: 2,,
Data 2: 7,Data 2: 7,,Data 2: 7,Data 2: 7,,
Data 3: 255,Data 3: 255,,Data 3: 255,Data 3: 255,,
,,,,,,
,,,,Protected ID: 60,,
,,,,Data 0: 2,,
,,,,Data 1: 2,,
,,,,Data 2: 7,,
,,,,Data 3: 255,,
,,,,,,
,,,,Protected ID: 60,,
,,,,Data 0: 3,,
,,,,Data 1: 2,,
,,,,Data 2: 7,,
,,,,Data 3: 255,,
,,,,,,
Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,Protected ID: 61,
Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,Data 0: 255,
Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,Data 1: 0,
Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,Data 2: 0,
