Time [s], Analyzer Name, Decoded Protocol Result
3.173208625000000,LIN,Header Break
3.173880750000000,LIN,Inter-Byte Space
3.173986875000000,LIN,Header Sync
3.174480875000000,LIN,Inter-Byte Space
3.174557500000000,LIN,Protected ID: 60
3.175051500000000,LIN,Inter-Byte Space
3.175387750000000,LIN,Data 0: 255
3.175881750000000,LIN,Inter-Byte Space
3.175906500000000,LIN,Data 1: 7
3.176400500000000,LIN,Inter-Byte Space
3.176425250000000,LIN,Data 2: 255
3.176919250000000,LIN,Inter-Byte Space
3.176944125000000,LIN,Data 3: 255
3.177438125000000,LIN,Inter-Byte Space
3.177463000000000,LIN,Data 4: 255
3.177957000000000,LIN,Inter-Byte Space
3.177981875000000,LIN,Data 5: 255
3.178475875000000,LIN,Inter-Byte Space
3.178500625000000,LIN,Data 6: 255
3.178994625000000,LIN,Inter-Byte Space
3.179019375000000,LIN,Data 7: 255
3.179513375000000,LIN,Inter-Byte Space
3.179538125000000,LIN,!CHK!
3.183169625000000,LIN,Header Break
3.183871625000000,LIN,Inter-Byte Space
3.183947875000000,LIN,Header Sync
3.184441875000000,LIN,Inter-Byte Space
3.184518500000000,LIN,Protected ID: 61
3.198213250000000,LIN,Header Break
3.198885375000000,LIN,Inter-Byte Space
3.198991375000000,LIN,Header Sync
3.199485375000000,LIN,Inter-Byte Space
3.199717750000000,LIN,Protected ID: 60
3.200211750000000,LIN,Inter-Byte Space
3.200599750000000,LIN,Data 0: 255
3.201093750000000,LIN,Inter-Byte Space
3.201118500000000,LIN,Data 1: 7
3.201612500000000,LIN,Inter-Byte Space
3.201637375000000,LIN,Data 2: 255
3.202131375000000,LIN,Inter-Byte Space
3.202156125000000,LIN,Data 3: 255
3.202650125000000,LIN,Inter-Byte Space
3.202674875000000,LIN,Data 4: 255
3.203168875000000,LIN,Inter-Byte Space
3.203193750000000,LIN,Data 5: 255
3.203687750000000,LIN,Inter-Byte Space
3.203712375000000,LIN,Data 6: 255
3.204206375000000,LIN,Inter-Byte Space
3.204231125000000,LIN,Data 7: 255
3.204725125000000,LIN,Inter-Byte Space
3.204749875000000,LIN,!CHK!
3.208121875000000,LIN,Header Break
3.208823875000000,LIN,Inter-Byte Space
3.208900000000000,LIN,Header Sync
3.209394000000000,LIN,Inter-Byte Space
3.209470750000000,LIN,Protected ID: 61
3.223113625000000,LIN,Header Break
3.223785625000000,LIN,Inter-Byte Space
3.223891625000000,LIN,Header Sync
3.224385625000000,LIN,Inter-Byte Space
3.224669625000000,LIN,Protected ID: 60
3.225163625000000,LIN,Inter-Byte Space
3.225499375000000,LIN,Data 0: 255
3.225993375000000,LIN,Inter-Byte Space
3.226018125000000,LIN,Data 1: 1
3.226512125000000,LIN,Inter-Byte Space
3.226536750000000,LIN,Data 2: 7
3.227030750000000,LIN,Inter-Byte Space
3.227055500000000,LIN,Data 3: 255
3.227549500000000,LIN,Inter-Byte Space
3.227574125000000,LIN,Data 4: 255
3.228068125000000,LIN,Inter-Byte Space
3.228092750000000,LIN,Data 5: 255
3.228586750000000,LIN,Inter-Byte Space
3.228611500000000,LIN,Data 6: 255
3.229105500000000,LIN,Inter-Byte Space
3.229130125000000,LIN,Data 7: 255
3.229624125000000,LIN,Inter-Byte Space
3.229648875000000,LIN,!CHK!
3.233072625000000,LIN,Header Break
3.233774625000000,LIN,Inter-Byte Space
3.233850750000000,LIN,Header Sync
3.234344750000000,LIN,Inter-Byte Space
3.234369500000000,LIN,Protected ID: 61
3.248066750000000,LIN,Header Break
3.248738875000000,LIN,Inter-Byte Space
3.248844875000000,LIN,Header Sync
3.249338875000000,LIN,Inter-Byte Space
3.249571125000000,LIN,Protected ID: 60
3.250065125000000,LIN,Inter-Byte Space
3.250453000000000,LIN,Data 0: 208
3.250947000000000,LIN,Inter-Byte Space
3.250971750000000,LIN,Data 1: 2
3.251465750000000,LIN,Inter-Byte Space
3.251490500000000,LIN,Data 2: 7
3.251984500000000,LIN,Inter-Byte Space
3.252009250000000,LIN,Data 3: 255
3.252503250000000,LIN,Inter-Byte Space
3.252528000000000,LIN,Data 4: 255
3.253022000000000,LIN,Inter-Byte Space
3.253046750000000,LIN,Data 5: 255
3.253540750000000,LIN,Inter-Byte Space
3.253565500000000,LIN,Data 6: 255
3.254059500000000,LIN,Inter-Byte Space
3.254084375000000,LIN,Data 7: 255
3.254578375000000,LIN,Inter-Byte Space
3.254603125000000,LIN,!CHK!
3.258027125000000,LIN,Header Break
3.258729125000000,LIN,Inter-Byte Space
3.258805375000000,LIN,Header Sync
3.259299375000000,LIN,Inter-Byte Space
3.259583625000000,LIN,Protected ID: 61
3.260077625000000,LIN,Inter-Byte Space
3.260314125000000,LIN,Data 0: 255
3.260808125000000,LIN,Inter-Byte Space
3.260846000000000,LIN,!FRAME!
3.273021000000000,LIN,Header Break
3.273693125000000,LIN,Inter-Byte Space
3.273799125000000,LIN,Header Sync
3.274293125000000,LIN,Inter-Byte Space
3.274525375000000,LIN,Protected ID: 60
3.275019375000000,LIN,Inter-Byte Space
3.275407375000000,LIN,Data 0: 0
3.275901375000000,LIN,Inter-Byte Space
3.275926125000000,LIN,Data 1: 2
3.276420125000000,LIN,Inter-Byte Space
3.276445000000000,LIN,Data 2: 7
3.276939000000000,LIN,Inter-Byte Space
3.276963875000000,LIN,Data 3: 255
3.277457875000000,LIN,Inter-Byte Space
3.277482750000000,LIN,Data 4: 255
3.277976750000000,LIN,Inter-Byte Space
3.278001500000000,LIN,Data 5: 255
3.278495500000000,LIN,Inter-Byte Space
3.278520375000000,LIN,Data 6: 255
3.279014375000000,LIN,Inter-Byte Space
3.279039250000000,LIN,Data 7: 255
3.279533250000000,LIN,Inter-Byte Space
3.279558000000000,LIN,!CHK!
3.282930625000000,LIN,Header Break
3.283632625000000,LIN,Inter-Byte Space
3.283708750000000,LIN,Header Sync
